sid,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,图片url
10066237,黄浦江Huangpu River,58,94.0,上海的地标河流，夜晚在江边散步或坐游船看两岸灯火。,101.0,121.4996049926,31.2441202296,1008,0.0,https://img1.qunarzz.com/travel/d6/1803/ec/281f1e8e2c56a3b5.jpg_r_480x360x95_32707022.jpg
9558121,奉浦四季生态园Fengpu Four Seasons Ecological Garden (West Gate),0,90.0,,2386.0,121.476611,30.941056,81,0.0,https://img1.qunarzz.com/travel/poi/1701/ee/a093de37ed338237.jpg_r_480x360x95_88218cb8.jpg
9184490,思南公馆Sinan Mansions,11,94.0,欣赏成片的花园洋房，感受老上海的洋气。,47.0,121.475006,31.220366,343,0.0,https://img1.qunarzz.com/travel/d5/1701/bc/2b1fb9a24c7fa2b5.jpg_r_480x360x95_ec8efd7e.jpg
7469052,上海邮政博物馆Shanghai Postal Museum,4,92.0,历史悠久的邮政大楼，了解中国邮政发展史，参观有趣的邮政工具和邮票珍品。,83.0,121.491381,31.25014,445,0.0,https://img1.qunarzz.com/travel/poi/1408/26/822a752314160e48ffffffffc8d65eac.jpg_r_480x360x95_5d6af785.jpg
704314,淮海路Huaihai Road,26,90.0,在淮海路商业街疯狂购物，夜晚感受霓虹灯下的浪漫情调。,41.0,121.476199,31.224781,610,0.1,https://img1.qunarzz.com/travel/d8/1703/a1/58cd9eb9c00a3bb5.jpg_r_480x360x95_8b66f28c.jpg
714081,上海大观园Shanghai Grand View Garden,4,90.0,漫步大型仿古建筑群，置身《红楼梦》的仿真场景之中。,72.0,120.916634,31.079238,739,0.0,https://img1.qunarzz.com/travel/d2/1709/e3/1c51f06452620ab5.jpg_r_480x360x95_07da6db4.jpg
7475130,广富林遗址文化公园,3,88.0,"不远的将来, 追寻上海历史之根,探究海派文化之源,品味自然生态的“广富林文化遗址公园”,将成为上海市民人文旅游的重头戏。",156.0,121.204525,31.068189,16,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/dd91b118711071b6fffd2fd0b5fd8ca4.jpg_r_480x360x95_e814c777.jpg
10000374,大淀湖Dadian Lake,1,88.0,,15.0,121.0602410824,31.1238212585,46,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/826a156281de62e3d2dc0df287efc970.jpg_r_480x360x95_ca3c0669.jpg
10011360,商榻古镇Shangta Ancient Town,1,88.0,,2158.0,120.9303197004,31.1211662292,10,0.0,https://img1.qunarzz.com/travel/poi/1712/e1/a8e00b7dfdc78e37.jpg_r_480x360x95_fe96c8dc.jpg
713203,徐家汇天主教堂St. Ignatius Cathedral,8,90.0,上海最大的天主教堂，欣赏中世纪哥特式建筑和内部精美的装饰。,50.0,121.442629,31.1975,464,0.09,https://img1.qunarzz.com/travel/d8/1608/91/34c5caf923b0c3b5.jpg_r_480x360x95_cb57d158.jpg
704127,南翔古镇Nanxiang Ancient Town,8,88.0,看白墙黑瓦江南水乡，逛上海最大的江南园林古猗园。,62.0,121.313593,31.297143,704,0.0,https://img1.qunarzz.com/travel/d0/1510/16/1a78db866ff53f7.jpg_r_480x360x95_841365fb.jpg
3540209,静安别墅Jing'an Villa,1,92.0,上海最大的新式里弄住宅群，曾有很多名门望族居住于此。,580.0,121.464448,31.233855,326,0.0,https://img1.qunarzz.com/travel/poi/1510/fc/a6612a7e55c676.jpg_r_480x360x95_3a0b97b8.jpg
712749,海上花岛生态度假村Qianwei Ecological Village,1,76.0,,2.0,121.516457,31.723174,111,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/a8ea7bd75dea815326f17ab00d1cd483.jpeg_r_480x360x95_d7ed7557.jpeg
