景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率
星空失恋博物馆（南京江宁旗舰店）Xingkongshilian Museum (nanjingjiangningqijian),0,0.0,,,118.829686,31.933417,0,0.0
蘑菇流泉·飞瀑小溪,0,0.0,,,118.715438,31.803967,0,0.0
周恩来邓颖超同志卧室Bedroom of Comrades Zhou Enlai and Deng Yingchao,0,80.0,,,118.8083132579,32.0492754218,0,0.0
南京失恋博物展Nanjingshilian Museum,0,96.0,,,118.7901,32.044654,8,0.0
梵高星空艺术馆Fangaoxingkong Art Museum,0,78.0,,,118.792177842,32.0476660256,3,0.0
汉口路22号民国建筑群,0,0.0,,,118.787706,32.060886,0,0.0
金陵美术馆-第三展厅,0,0.0,,,118.793509,32.019279,0,0.0
南山竹径Nanshan Bamboo Trail (Nanjing Science and Technology Museum),0,0.0,,,118.7919375078,31.9911463742,0,0.0
南京大金山风景区-延安寺,0,0.0,,,119.126728,31.696184,0,0.0
梅园新村48-51号民国住宅,0,0.0,,,118.808317,32.050002,0,0.0
金陵大报恩寺塔-江南首寺Jinling Da Bao'en Si Ta-Jiangnan Shou Temple,0,90.0,,,118.789637,32.015803,5,0.0
臻稀双公园,0,0.0,,,118.782515,32.242447,0,0.0
"金陵大报恩寺塔-千年对望Millennium Glaring Scenic Spot, Jinling Gratitude Pagoda",0,78.0,,,118.788874,32.016011,3,0.0
国学文化大讲堂,0,0.0,,,118.823969,32.041499,0,0.0
南京润丰食品禽蛋基地,0,0.0,,,118.686639,32.244002,0,0.0
金鹰动物世界Jinyingdongwu World,0,86.0,,,118.7468512555,32.0289548221,15,0.0
南京菲迅园林绿化工程有限公司,0,0.0,,,119.043706,31.678686,0,0.0
太平天国天京图,0,0.0,,,118.849223,32.05044,0,0.0
太阳宫演艺广场Taiyanggong Yanyi Square,0,80.0,,,118.819306,32.070877,0,0.0
鸡鸣寺-琉璃世界Jiming Si-Liuli World,0,100.0,,,118.802026,32.067576,1,0.0
观赏鱼繁育场,0,0.0,,,118.861441,32.404845,0,0.0
石塘村8号井,0,0.0,,,118.721445,31.729741,0,0.0
阿拉斯加犬,0,0.0,,,118.85186,32.059886,0,0.0
香水河桥及御道遗址,0,0.0,,,118.788065,32.015689,0,0.0
南京林业大学观果树种基地,0,0.0,,,118.837974,32.213607,0,0.0
"东苑-第二展室Second Exhibition Room, Dongyuan",0,0.0,,,118.804729,32.049391,0,0.0
经变画廊,0,0.0,,,118.791335,32.015245,0,0.0
南京市浦口区十里苗木中心,0,0.0,,,118.490637,32.078492,0,0.0
南京师范大学随园校区明妮魏特琳雕像,0,90.0,,,118.7767220091,32.0582650333,1,0.0
涵碧轩旧址,0,0.0,,,118.80101,32.084396,0,0.0
南京城墙武定门登城口,0,86.0,,,118.802269,32.020259,2,0.0
上庄园-甘泉宸谷,0,0.0,,,118.72887,31.772138,0,0.0
南京市六合区辰恒园艺场,0,0.0,,,118.7523739772,32.317096031,0,0.0
可口可乐博物馆弘阳广场外展,0,86.0,,,118.731443,32.144404,2,0.0
东南大学大礼堂Auditorium of Southeast University,0,90.0,,,118.800677,32.062282,3,0.0
青奥中心双塔楼Nanjing Qing'ao Center,0,94.0,,,118.716189,31.997679,13,0.0
枫彩漫城Maple Park,0,96.0,,,118.655373,32.540697,42,0.0
"桠溪慢城文峰塔Wenfeng Tower, Yanxi Slow City",0,86.0,,,119.089776,31.424291,2,0.0
新街口元气星空艺术馆Xinjie Kou Yuanqi Xingkong Art Museum,0,0.0,,,118.7922444344,32.0474888245,0,0.0
二台洞Ertai Cave,0,90.0,,,118.8183679085,32.1473250016,0,0.0
紫金山探险公园Zijinshan Tanxian Park,0,98.0,,,118.865978,32.060552,70,0.0
徐家院Courtyard of Family Xu,0,90.0,,,118.684133,31.850937,5,0.0
三叶梦华苑Sanye Menghua Garden,0,88.0,,,119.0152148101,31.4761636244,5,0.0
东水关公园Songs Association Park,0,92.0,,,118.8348425411,31.8967252073,1,0.0
开发区科技展览馆JiangNing KaiFaQu KeJi ZhanLanGuan (ZhanShi ZhongXin),0,0.0,,,118.826843196,31.9447102259,0,0.0
南京白马创业一条街BaiMa ChuangYe YiTiao Jie (JinShengTian DaSha DongBei),0,0.0,,,118.8194611114,32.3354075299,0,0.0
南京温州商业街WenZhou ShangYeJie (JiangNing LuDeng GuanLiSuo XiNan),0,0.0,,,118.8524680078,31.9492214493,0,0.0
南京宝船厂遗址出土文物展BaoChuanChang YiZhi ChuTu WenWu Zhan,0,0.0,,,118.7422013658,32.0678880353,0,0.0
南京凡德艺术街区FanDe YiShu JieQu,0,100.0,,,118.791209,32.01237,1,0.0
南京鼓楼国际医院建设展示中心GuLou GuoJi YiYuan JianShe ZhanShi ZhongXin,0,96.0,,,118.9506654383,32.1108574419,3,0.0
南京古秦淮夫子庙步行街GuQinHuai FuZiMiao BuXingJie,0,94.0,,,118.795611,32.02793,15,0.0
南京广州路科技街GuangZhou Lu KeJi Jie,0,0.0,,,118.7903661187,32.0568190751,0,0.0
南京黑廊巷老街区HeiLang Xiang LaoJieQu,0,0.0,,,118.7896339392,32.0295693036,0,0.0
南京红街Hong Jie,0,0.0,,,118.7929251099,32.0337179186,0,0.0
南京红山美食街HongShan MeiShiJie,0,0.0,,,118.816229,32.09687,0,0.0
南京惠济路步行街HuiJi Lu BuXingJie,0,0.0,,,118.5216136079,32.0979521681,0,0.0
南京景尚银谷文化休闲街区JingShangYinGu WenHua XiuXian JieQu,0,0.0,,,118.7413185006,31.9936371388,0,0.0
南京金浦假日百货室内精品步行街JinPu JiaRi BaiHuo ShiNei JingPin BuXingJie,0,0.0,,,118.6365526126,32.0691572502,0,0.0
南京君临紫金商业街JunLin ZiJin ShangYeJie,0,86.0,,,118.8443639862,32.0415467328,3,0.0
南京莱茵东郡步行街Lai YinDongJun BuXingJie,0,0.0,,,118.871491798,31.9444753221,0,0.0
南京龙园中路创业一条街LongYuan ZhongLu ChuangYe YiTiao Jie,0,0.0,,,118.7493793184,32.0658327078,0,0.0
南京罗托鲁拉小镇风情商业街LuoTuo LuLa XiaoZhen FengQing ShangYeJie,0,0.0,,,118.8562725902,31.9390686125,0,0.0
南京麒麟商业步行街QiLin ShangYe BuXingJie,0,0.0,,,118.931432,32.058624,0,0.0
南京南湖东路商业街NanHu DongLu ShangYeJie,0,0.0,,,118.770245455,32.0348431872,1,0.0
南京瑞金路商业街RuiJin Lu ShangYeJie,0,98.0,,,118.8098109868,32.0387887266,0,0.0
南京上坊步行街ShangFang BuXingJie,0,0.0,,,118.8908336617,31.9682420966,0,0.0
南京石鼓湾美食休闲街区ShiGu WanMeiShi XiuXian JieQu,0,0.0,,,118.7778124061,32.0480360987,0,0.0
南京日光广场步行街RiGuang GuangChang BuXingJie,0,0.0,,,118.858503841,31.9613400158,0,0.0
南京双和园商业街ShuangHeYuan ShangYeJie,0,0.0,,,118.7413185006,31.9936371388,0,0.0
南京汤山商业步行街TangShan ShangYe BuXingJie,0,0.0,,,118.9334216336,32.0560376017,0,0.0
南京太平南路老商业街TaiPing NanLu LaoShangYe Jie,0,80.0,,,118.7968330806,32.0351526703,2,0.0
南京万达金街WanDaJin Jie,0,86.0,,,118.7513171993,32.0396500245,3,0.0
汤山历史文化展示中心TangShan LiShi WenHua ZhanShi ZhongXin,0,80.0,,,119.054446,32.046831,0,0.0
南京天元城摩登道商业街TianYuan Cheng MoDeng Dao ShangYeJie,0,0.0,,,118.871491798,31.9444753221,0,0.0
通济街商业广场步行街TongJi Jie ShangYe GuangChang BuXingJie,0,0.0,,,119.0348247358,31.6627865983,0,0.0
南京同曦步行街TongXi BuXingJie,0,0.0,,,118.8298359029,31.9509226285,0,0.0
南京铜井创业街TongJing ChuangYe Jie,0,0.0,,,118.5125527574,31.7135566938,0,0.0
南京万安陵石刻WanAn LingShiKe,0,80.0,,,118.892291,31.970833,1,0.0
南京万辰广场商业街WanChen GuangChang ShangYeJie,0,0.0,,,119.0312462567,31.6653256614,0,0.0
江苏禁毒展览馆JiangSu JinDu ZhanLanGuan,0,60.0,,,118.8031022721,32.0492958635,0,0.0
江苏省南京市殷巷商业街JiangSuSheng NanJingShi YinXiang ShangYeJie,0,0.0,,,118.840554,31.916265,0,0.0
江苏作家作品馆JiangSu ZuoJia ZuoPinGuan,0,0.0,,,118.8028179707,32.0487357601,0,0.0
江苏省艺术展览馆Jiangsusheng Yishu Exhibition Hall,0,0.0,,,118.7909807689,32.0433761941,0,0.0
南京财经大学展示厅NanJing CaiJing DaXue ZhanShiTing,0,0.0,,,118.9188484149,32.1141611086,0,0.0
南京市白下区文物陈列馆NanJingShi BaiXiaQu WenWu ChenLieGuan,0,86.0,,,118.7928027075,32.031283575,1,0.0
青奥国际风情街NanJing QingAoCun GuoJi FengQing Jie,0,90.0,,,118.712472,31.99595,1,0.0
文学艺术界联合会书画研究院展览馆NanJingShi WenXue YiShuJie LianHeHui ShuHua YanJiuYuan ZhanLanGuan,0,0.0,,,118.7943829668,32.0236174983,0,0.0
南京信息工程大学校史馆NanJing XinXi GongCheng DaXue XiaoShiGuan,0,86.0,,,118.724456,32.210435,2,0.0
南京西堤商业街XiDi ShangYeJie,0,100.0,,,118.7364454743,32.0097126937,0,0.0
南京扬子石化厂史展览YangZi ShiHua ChangShi ZhanLan,0,0.0,,,118.771474347,32.2385548598,0,0.0
南京新民路美食一条街XinMin Lu MeiShi YiTiao Jie,0,100.0,,,118.761535,32.095745,0,0.0
南京新铜花苑商业街XinTong HuaYuan ShangYeJie,0,0.0,,,118.5125527574,31.7135566938,0,0.0
南京学府路商业街XueFu Lu ShangYeJie,0,0.0,,,118.7254368965,32.1725019758,0,0.0
南京亚东国际公寓商业街YaDong GuoJi GongYu ShangYeJie,0,0.0,,,118.7731780124,32.0107133634,0,0.0
南京阅城国际商业街区YueCheng GuoJi ShangYe JieQu,0,0.0,,,118.7939574646,31.981633304,0,0.0
南京忆君禅画展览YiJunChan HuaZhanLan,0,0.0,,,118.9332604527,32.1504341197,0,0.0
南京阅江楼明文化街YueJiangLou MingWenHua Jie,0,100.0,,,118.749823,32.098127,1,0.0
南京永乐民间古玩展览馆YongLe MinJian GuWan ZhanLanGuan,0,0.0,,,118.8750227622,31.3245213362,0,0.0
南京长发银座风情商业街ChangFa YinZuo FengQing ShangYeJie,0,100.0,,,118.7931648781,32.0420317541,0,0.0
南京重庆珍华园ZhenHuaYuan,0,0.0,,,118.9334216336,32.0560376017,0,0.0
南京中山大街步行街ZhongShan DaJie BuXingJie,0,0.0,,,118.8730703765,31.327413196,0,0.0
南京紫鑫国际购物街ZiXin GuoJi GouWu Jie,0,0.0,,,118.7383259148,32.0155822552,0,0.0
六合文庙Liuhe Confucian Temple,0,40.0,,,118.8399458599,32.3495559532,1,0.0
洞壁琴音Wall Sounds Scenic Resort,0,94.0,,,119.08684,31.577394,2,0.0
萧恢墓Xiao Hui Tomb,0,84.0,,,118.9330348219,32.1500815099,6,0.0
马头山石柱林Matoushan Stone Pillar Forest,0,0.0,,,118.9783044101,32.4039036338,0,0.0
兴中门Xingzhong Gate,0,0.0,,,118.7609376914,32.0937208055,0,0.0
中国秦淮灯会主会场（白鹭洲公园）,0,96.0,,,118.8019268167,32.0241009232,0,0.0
音乐星空艺术馆Xinjie Kou Yinyue Xingkong Art Museum,0,90.0,,,118.7885324701,32.0455506312,3,0.0
独角兽星空艺术馆Dujiaoshou Xingkong Art Museum,0,84.0,,,118.789811,32.044972,4,0.0
太平天国天王府遗址Taipingtianguo Tianwangfu Ruins,0,86.0,,,118.803927,32.049984,1,0.0
孙中山临时大总统办公室Office of Interim President Sun Yat-sen,0,78.0,,,118.802675,32.050561,0,0.0
钱仓·向日葵花海Qiancang Sunflower Sea,0,90.0,,,118.901035,32.353096,2,0.0
河海大学图书馆The Library of Hohai University,0,94.0,,,118.76455,32.060944,3,0.0
汉西门Hanxi Gate,0,100.0,,,118.773348,32.047835,1,0.0
长乐坊Changle Archway,0,0.0,,,118.7915528134,32.0207487608,0,0.0
古瓦官寺Guwaguan Temple,0,100.0,,,118.77903,32.023917,1,0.0
佛手湖Zhenzhuquan Foshou Lake,0,94.0,,,118.659361,32.11452,4,0.0
南京炮兵学院Nanjingpaobing College,0,100.0,,,119.070293,32.061307,1,0.0
石湫Shiqiuzhen,0,60.0,,,118.920808,31.641533,1,0.0
聚星阁Juxing Pavilion,0,100.0,,,118.8712,31.324809,0,0.0
饮马巷Horse-feeding Lane,0,0.0,,,118.783945,32.020806,0,0.0
东干长巷公园Donggan Changxiang Park,0,0.0,,,118.798793,32.014143,0,0.0
南京审计学院Nanjing Audit University,0,100.0,,,118.618233348,32.0648061882,5,0.0
基督教莫愁路堂Mochou Road Christian Church,0,80.0,,,118.781853,32.045345,0,0.0
"明孝陵神圣功德碑Sacred Merit Monument, Xiao Mausoleum of Ming Dynasty",0,86.0,,,118.849983,32.052701,1,0.0
梁州Liangzhou (An Ancient Chinese City),0,96.0,,,118.800406,32.084252,4,0.0
和平广场Heping Square,0,0.0,,,118.7676265318,32.038018692,0,0.0
花神碧波Huashen Bibo,0,100.0,,,118.7936165404,31.994709056,0,0.0
山西路市民广场Shanxilu Shimin Square,0,0.0,,,118.779226,32.07638,0,0.0
琵琶街Pipa Street,0,0.0,,,118.795893,32.024536,0,0.0
范鸿仙墓Fan Hongxian Tomb,0,90.0,,,118.888198,32.059136,1,0.0
升仙桥Shengxian Bridge,0,0.0,,,118.846333,32.063543,0,0.0
神帛炉Shenbolu Palace,0,0.0,,,118.846482,32.061285,0,0.0
钟山风景区碑殿Zhongshan Scenic Area-Tablet Hall,0,92.0,,,118.846338,32.061127,3,0.0
革命烈士纪念碑Revolutionary Martyr Monument,0,0.0,,,118.625231,32.062009,0,0.0
二桥公园Erqiao Park,0,80.0,,,118.853411,32.159611,3,0.0
尧新广场Yaoxin Square,0,0.0,,,118.874953,32.138179,0,0.0
南京长城Nanjing Great Wall,0,100.0,,,118.658386,32.138552,3,0.0
高湖Gaohu Village,0,0.0,,,118.799974,31.930301,0,0.0
揽胜楼Lansheng Tower,0,90.0,,,118.80172,32.08415,4,0.0
南京古惠济寺Guhuiji Temple,0,96.0,,,118.520867,32.102669,2,0.0
五马渡广场Wumadu Square,0,96.0,,,118.7941589535,32.1335293411,5,0.0
南湖公园Nanhu Park,0,86.0,,,118.7687790121,32.0333970137,18,0.0
"滨江风光带Riverside Scenic Belt, Nanjing",0,98.0,,,118.6937802936,32.0705449872,6,0.0
松风阁Songfeng Pavilion,0,90.0,,,118.875602,32.064387,1,0.0
永银钱币博物馆Yongyin Numismatic Museum,0,92.0,,,118.794263,32.012433,5,0.0
翊美空间,0,0.0,唤醒感知的艺术空间,,118.828359,32.044802,0,0.0
灰格画室,0,0.0,北欧色调的极简清新小画室,,118.752017,32.028591,0,0.0
逸空间画廊,0,100.0,生活区域的高品质艺术空间,,118.761134,32.049564,1,0.0
石舫,0,90.0,,,118.803853,32.049067,3,0.0
"菊花台九烈士墓Tomb of Nine Martyrs, Chrysanthemums Terrace",0,0.0,,,118.768125,31.994997,0,0.0
山阴路Shanyin Road,0,94.0,,,118.773223,32.061881,2,0.0
长乐渡,0,0.0,,,118.7914240364,32.0205109851,1,0.0
金乌温泉公园Jinwuwenquan Park,0,96.0,,,119.060207,32.051975,7,0.0
国际应急安全中心Saifucheng Xianheng Guoji Yingji Anquan Center,0,100.0,,,118.7024159739,32.1597864415,5,0.0
郑和文化园Zheng He Cultural Park,0,100.0,郑和衣冠冢及文物展馆,,118.738932,31.913901,1,0.0
南京奥林匹克博物馆Nanjing Olympics Museum （Southeast Gate）,0,100.0,,,118.713132,31.997378,5,0.0
红色李巷Red Lee Lane,0,100.0,,,119.1487828187,31.5295476659,1,0.0
郭兴庄园Guoxing Manor,0,90.0,,,119.002472,31.592984,6,0.0
峡谷漂流城堡Canyon Drifting Castle,0,0.0,峡谷、山洞、漩涡。,,118.72292,31.804551,0,0.0
老字号博物馆Laozihao Museum,0,90.0,,,118.793976,32.018245,3,0.0
国瓷小镇Sinocera Town,0,100.0,,,118.947651,31.340428,1,0.0
萧宏墓Xiao Hong Mausoleum,0,80.0,,,118.9327524477,32.1448134609,0,0.0
邓廷桢墓Deng Tingzhen Tomb,0,0.0,,,118.9506654383,32.1108574419,0,0.0
浦口沙滩广场Pukoushatan Square,0,0.0,,,118.698,32.0801,0,0.0
奇正藏文化展示馆Qizheng Tibetan Culture Exhibition Hall,0,0.0,,,118.824,32.0258,0,0.0
卫士室The Guard Room,0,0.0,,,118.804,32.0512,0,0.0
埃及园Egyptian Garden,0,0.0,,,118.717,32.0238,0,0.0
日本神社旧址Japan Shrine Former Site,0,80.0,,,118.782299,32.054169,1,0.0
微园美术馆Weiyuan Gallery,0,0.0,,,118.7845293989,31.9586191947,0,0.0
典礼局Ceremony Bureau,0,0.0,,,118.804,32.051,0,0.0
百家湖花园市民广场Baijiahu Garden Citizen's Square,0,94.0,,,118.818445156,31.9414611757,15,0.0
职校广场Zhixiao Square,0,0.0,,,118.645,32.0733,0,0.0
岩生植物园Yansheng Botanical Garden,0,0.0,,,118.839,32.0621,0,0.0
公园西路,0,0.0,,,118.84,31.9454,0,0.0
基督教板桥活水堂Christian Banqiao Flowing Water Church,0,0.0,,,118.674994,31.922297,0,0.0
北祖师庵North Patriarch Nunnery,0,94.0,,,118.756,32.0959,1,0.0
鼓楼法治文化广场Drum Tower Rule of Law Cultural Square,0,94.0,,,118.786,32.0941,11,0.0
四方当代艺术湖区Sifang Contemporary Art Lake District,0,82.0,,,118.650804,32.119418,7,0.0
游乐设施,0,0.0,,,118.829,31.9495,0,0.0
南京博物院南农大分院Nanjing Bowu Yuannan Nongda Division,0,92.0,,,118.849774,32.041597,8,0.0
江南丝绸文化博物馆Jiangnansichou Culture Museum,0,96.0,,,118.77812,32.031803,6,0.0
QQ游乐园,0,0.0,,,118.704,31.8744,0,0.0
凤游寺Fengyousi,0,90.0,,,118.7769943753,32.0226095207,5,0.0
宁西村文体活动广场Ningxicun Wenti Huodong Square,0,0.0,,,119.0917738311,31.9904843449,0,0.0
中山故事馆,0,0.0,,,118.8512152615,32.0580298506,0,0.0
森林大道游园Forest Avenue Amusement Park,0,0.0,,,118.626,32.0695,0,0.0
石刻湖公园Shikehu Park,0,86.0,,,118.6071972478,31.8545468242,4,0.0
长虹路130号北North of No.130 Changhong Road,0,0.0,,,118.774,32.0316,0,0.0
基督教孝陵卫堂Xiaolingwei Christian Church,0,0.0,,,118.882,32.0335,0,0.0
卡奇乐儿童乐园,0,0.0,,,118.944,31.9378,0,0.0
公园北路,0,0.0,,,118.636,32.0691,0,0.0
"明孝陵明功臣墓·仇成墓Tomb of Qiu Cheng, Tomb of Meritorious Statesmen, Xiao Mausoleum of Ming Dynasty",0,86.0,,,118.8267,32.067918,4,0.0
桂花广场Guihua Square,0,0.0,,,118.748,32.3898,0,0.0
高新区会展中心,0,0.0,,,118.7029313919,32.1703216642,0,0.0
"方山定林寺禅修基地Meditation Base, Dinglin Temple, Fangshan",0,100.0,,,118.877935,31.908033,1,0.0
七彩跑酷,0,60.0,,,118.719,32.0333,0,0.0
大脑公园(凤凰国际书城店)Danao Park,0,94.0,,,118.789,32.075,6,0.0
王榭故居Yuxie Former residence,0,0.0,,,118.7954189258,32.0247043386,0,0.0
南京蒋氏故居Chiang's Former Residence in Nanjing,0,0.0,,,118.7960584235,32.0174402089,0,0.0
乐悠游儿童乐园,0,0.0,,,118.635,32.0615,0,0.0
顾家庄教堂Gujiazhuang Church,0,60.0,,,118.718,31.9602,0,0.0
南京火车站-北广场,0,80.0,,,118.805,32.0947,16,0.0
集会广场Jihui Square,0,0.0,,,118.752,32.041,0,0.0
廿一熙园Ganyixi Garden,0,0.0,,,118.787379819,32.0319696886,0,0.0
双女坟Shuangnv Grave,0,0.0,,,118.9426623237,31.2517972944,0,0.0
基督教浦口堂Pukou Christian Church,0,0.0,,,118.711908,32.156307,0,0.0
孔祥熙公馆Former residence of Kong Xiangxi,0,0.0,,,118.7935455625,32.0712511708,0,0.0
桂子山Guizi Mountain,0,0.0,,,118.94244,32.465445,0,0.0
大墩子遗址Dadunzi Site,0,0.0,,,118.8355201761,31.8741549004,0,0.0
"江苏省南京市秦淮区月牙湖Crescent Lake, Qinhuai District, Nanjing City, Jiangsu Province",0,100.0,,,118.8339920396,32.0384373239,0,0.0
南京人化石地点Nanjing Homo Erectus Fossil Site Museum,0,0.0,,,119.0695709252,32.0630644619,0,0.0
浦口党小组Pukou Party Group,0,0.0,,,118.850827588,31.9661654824,0,0.0
南京市蟠龙湖森林公园Nanjingshi Panlonghu Forest Park,0,90.0,,,118.811458495,31.676180321,2,0.0
六合明代古城墙Liuhe Ancient City Wall of Ming Dynasty,0,86.0,,,118.836779,32.350916,2,0.0
民国警察史博物馆Minguo Jingchashi Museum,0,100.0,,,118.664,32.0981,1,0.0
林散之故居Linsanzhi Former Residence,0,80.0,,,118.485281,31.863422,0,0.0
明园广场西区West District of Mingyuan Plaza,0,0.0,,,118.75,32.04,0,0.0
站前广场Zhanqian Square,0,0.0,,,118.919,32.1284,0,0.0
龙王庙Dragon King Temple,0,0.0,,,118.795,32.0383,0,0.0
雅居乐公园Yajule Park,0,0.0,,,118.8045787324,32.0169313695,0,0.0
锁金科技广场Suojinkeji Square,0,0.0,,,118.822,32.0777,0,0.0
定坊教堂Dingfang Church,0,0.0,,,118.769,31.9545,0,0.0
新乐园,0,0.0,,,118.8,32.0379,0,0.0
毗卢寺-中国佛教会旧址Chinese Buddhists Former Site,0,0.0,,,118.8100000062,32.0488000488,0,0.0
万景园Wanjingyuan,0,92.0,,,118.723184,32.040013,2,0.0
南京市社区特色文化广场Nanjingshi Shequ Tese Culture Square,0,0.0,,,118.923,32.5131,0,0.0
滨江美食广场Binjiangmeishi Square,0,0.0,,,118.823,32.1516,0,0.0
南京市方志馆Nanjing Local Chronicles Museum,0,0.0,,,118.729,32.0202,0,0.0
南京国际博览中心青奥公园Nanjing Guoji Bolan Zhongxin Qing'ao Park,0,96.0,,,118.7259070223,31.9995850459,17,0.0
南京珍稀濒危生态植物园Nanjing Zhenxi Binwei Ecology Botanical Garden,0,0.0,,,118.824,32.0943,0,0.0
凤凰城生态植物园南京分公司,0,0.0,,,118.795,32.0559,0,0.0
南京市基督教教堂停车场(出入口),0,0.0,,,118.726,32.0185,0,0.0
青奥村广场Qing'aocun Square,0,94.0,,,118.7129213373,31.9952304477,11,0.0
浦发银行时尚广场Pufa Bank Fashion Square,0,0.0,,,118.802,32.0527,0,0.0
江苏省方志馆Jiangsu Local Chronicles Museum,0,0.0,,,118.747,32.0125,0,0.0
南京邮电局旧址Nanjing Post and Telecommunication Bureau Former Site,0,100.0,,,118.796113,32.029403,3,0.0
孝陵博物馆陈列厅Mingxiaoling Museum Exhibition Hall,0,94.0,,,118.847,32.0584,2,0.0
四平路广场Sipinglu Square,0,94.0,,,118.7619479496,32.0994917569,0,0.0
红色记忆电影文化馆Red Memory Film Culture Center,0,0.0,,,118.7548029953,32.0807120611,0,0.0
天堡城遗迹Ruins of Tianbao Fort,0,100.0,,,118.836,32.0703,1,0.0
过把瘾乐园,0,0.0,,,118.763,32.2249,0,0.0
玉青广场Yuqing Square,0,0.0,,,118.648,32.0757,0,0.0
叠泉广场Diequan Square,0,0.0,,,118.838,31.983,0,0.0
侯村失考墓石刻Houcun Shikao Tomb Rock Carvings,0,80.0,,,118.9042859729,31.9474879713,3,0.0
"江苏省·中国科学院植物研究所植物博览园Jiangsu Botanical Expo Park, Institute of Botany, Chinese Academy of Sciences",0,100.0,,,118.839314,32.055626,0,0.0
南京郑和书画院Nanjing Zheng He Painting & Calligraphy Academy,0,0.0,,,118.793,32.0313,0,0.0
南京大学仙林校区-二源广场Nanjing Daxue Xianlin Xiaoqu-Er Yuan Square,0,98.0,,,118.9668,32.118591,6,0.0
麒麟广场Qilin Square,0,0.0,,,118.78118,32.24447,0,0.0
"浦口区江浦街道清真寺寺管组Mosque Temple Management Group, Jiangpu Street, Pukou District",0,0.0,,,118.634,32.0663,0,0.0
小王府巷清真寺Xiaowangfuxiang Mosque,0,0.0,,,118.785,32.0398,0,0.0
太子山北大门文化休闲广场Taizishan Beidamen Culture Leisure Square,0,0.0,,,118.758,32.2256,0,0.0
翠云广场Cuiyun Square,0,0.0,,,118.461,32.0408,0,0.0
红光休闲广场(石马新寓东北)Hongguang Leisure Square (shimaxinyudongbei),0,0.0,,,118.801,31.9632,0,0.0
天降花雨广场Tianjianghuayu Square,0,0.0,,,118.789,32.0039,0,0.0
江湖射艺馆,0,0.0,,,118.735,31.9988,0,0.0
中埂居民休闲广场Zhonggengjumin Leisure Square,0,0.0,,,118.676,31.963,0,0.0
梅龙湖广场生态文化休闲广场Meilonghu Square Ecology Culture Leisure,0,0.0,,,118.939,31.9416,0,0.0
南湾营广场Nanwanying Square,0,0.0,,,118.905,32.0453,0,0.0
农耕文化园Farming Cultural Park,0,0.0,,,119.089,31.4193,0,0.0
星型广场Xingxing Square,0,0.0,,,118.762,32.0904,0,0.0
上河街广场Shanghe Street Square,0,0.0,,,118.636,32.0602,0,0.0
岗山广场Gang Mountain Square,0,0.0,,,118.867,31.9584,0,0.0
星甸镇福山公墓,0,0.0,,,118.463,31.9808,0,0.0
共青广场Gongqing Square,0,0.0,,,118.781,31.9823,0,0.0
淘气堡儿童主题乐园,0,0.0,,,118.768,32.2374,0,0.0
开心儿童益智游乐园,0,0.0,,,119.067,31.9389,0,0.0
景鹰广场Jingying Square,0,0.0,,,118.902,31.3339,0,0.0
澄观·禅境Zen Space,0,0.0,,,118.789,32.0146,0,0.0
嘻哈儿童游乐场,0,0.0,,,118.818,32.5329,0,0.0
玉骐麟乐园,0,0.0,,,118.726,32.136,0,0.0
爱神广场Aishen Square,0,86.0,,,118.814,32.0777,2,0.0
木马公寓广场Mumagongyu Square,0,90.0,,,118.794,32.058,1,0.0
麒麟门市民广场Qilinmen Shimin Square,0,0.0,,,118.931678,32.057828,0,0.0
休闲广场Leisure Square,0,0.0,,,118.847,32.023,0,0.0
上坊市民休闲广场Shangfangshimin Leisure Square,0,0.0,,,118.894,31.9647,0,0.0
竹园Bamboo Garden,0,0.0,,,118.858,32.0391,0,0.0
西善桥社区文体活动广场Xishanqiao Shequ Wenti Huodong Square,0,0.0,,,118.722,31.9617,0,0.0
谢村社区休闲广场Xiecunshequ Leisure Square,0,100.0,,,118.879,31.6904,1,0.0
国旗广场Guoqi Square,0,0.0,,,118.847,31.9578,0,0.0
迎宾广场Yingbin Square,0,0.0,,,118.903,31.333,0,0.0
激情广场Jiqing Square,0,0.0,,,118.849,31.927,0,0.0
板桥市民广场Banqiaoshimin Square,0,0.0,,,118.667,31.9282,0,0.0
金叶花园社区妇女儿童文化广场Jinye Huayuan Shequ Funv Children Culture Square,0,0.0,,,118.659,31.9311,0,0.0
国际儿童主题乐园手工坊,0,0.0,,,118.73,32.1489,0,0.0
六合雨花石珍藏馆Liuhe Riverstones Collection,0,0.0,,,118.808,32.3067,0,0.0
陈营村基督教堂Chenyingcun Christ Church,0,0.0,,,118.808,32.3596,0,0.0
甘家巷耶稣基督教堂Ganjiaxiang Yesu Christ Church,0,0.0,,,118.924,32.1449,0,0.0
国家地质公园方山景区Guojia Dizhi Gongyuan Fang Mountain Sceneic Area,0,84.0,,,118.9986286226,32.3162958688,5,0.0
"中国南京横梁雨花石馆Hengliang Yuhua Stone Museum, Nanjing, China",0,100.0,,,118.93463,32.327406,0,0.0
酷宝贝儿童乐园,0,0.0,,,118.749,32.1306,0,0.0
南京工运纪念馆Nanjinggongyun Memorial Hall,0,0.0,,,118.699492,32.130905,0,0.0
