景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率
江苏省美术馆Jiangsu Provincial Art Museum,1,90.0,采用乱纹罗马洞石作为外墙的现代美术馆，与周围建筑大环境相融合。,159.0,118.805187,32.047859,174,0.0
灵谷景区Linggu Scenic Area,17,92.0,环境清幽，观宏伟的明代无梁殿，登灵谷塔，在墓园缅怀革命烈士。,34.0,118.873765,32.061501,628,0.1
清凉山公园Qingliangshan Park,4,90.0,历史文化名园，又有“七朝胜迹”之称，是漫步歇息的绝佳去处。,90.0,118.767278,32.056272,146,0.0
太平天国历史博物馆Taiping Heavenly Kingdom Historical Museum,2,90.0,,150.0,118.791595,32.027273,72,0.01
晨光1865科技创意产业园Chenguang 1865 Science-technology And Creativity Industrial Park,1,88.0,,69.0,118.79444,32.012103,50,0.0
玄武湖菱洲,0,0.0,,,118.806196,32.076947,0,0.0
固城湾,0,98.0,,,118.879593,31.322903,0,0.0
T108文化创意园,0,0.0,,,118.8585273024,31.9361526582,0,0.0
南京松鼠部落森林假日公园,0,82.0,,,118.545165,32.104731,0,0.0
地铁时光星街区,0,0.0,,,118.9663251503,32.1147180151,0,0.0
象山湖市民公园,0,88.0,,,118.6318502142,32.1000909968,0,0.0
直立人化石遗址博物馆,0,0.0,,,118.883038,31.901771,15,0.0
黄龙岘Huanglongxian Jinling Tea Culture Tourist Village,0,86.0,,,118.69607,31.786226,11,0.0
清风亭Qingfeng Pavilion,0,0.0,,,118.8455019382,31.9606151959,0,0.0
中国福利彩票,0,0.0,,,118.916912532,31.9117700151,0,0.0
苏码图文设计工作室,0,0.0,,,118.893332322,31.9392119151,0,0.0
溧水周园Lishui Zhouyuan Park,0,90.0,,533.0,119.198369,31.633592,90,0.0
汤山风景区Tangshan Scenic Area,1,90.0,,4.0,119.036688,32.076308,45,0.0
三国村Sanguo Village,0,88.0,,29.0,119.107641228,31.9146046959,25,0.0
颐和路民国时期公馆风貌区,2,90.0,,827.0,118.7766136136,32.0692046765,9,0.0
红叶谷Red Leaves Valley,1,88.0,,955.0,118.970772,32.162914,28,0.0
古秦淮夫子庙步行街,3,92.0,,172.0,118.7947641565,32.0255575982,8,0.0
愚园Yuyuan Garden (Nanjing),1,92.0,,1083.0,118.78004,32.022021,84,0.0
横梁雨花石博物馆Yuhuashi Museum,1,86.0,,236.0,118.790404,32.003234,39,0.0
午朝门公园Wuchaomen Park,2,92.0,,238.0,118.824049,32.044408,71,0.0
九华山公园Jiuhuashan Park,1,90.0,,44.0,118.814403,32.066029,68,0.0
北极阁,1,0.0,鸡笼山位于鼓楼广场东面，北依台城，紧临玄武湖，因山形似鸡笼，故名鸡笼山。南朝宋时在山顶上建立了第一个日观台，观天象，测风候。山下还建立了中国第一所大学，全国有名的文史学家常聚集在这里，鸡笼山堪称当时的学术中心。这个中心随南朝的衰败…,244.0,118.7996098753,32.0650919188,0,0.0
拉贝故居John-Rabe House,5,90.0,,245.0,118.789734,32.05686,84,0.0
东南大学四牌楼校区,3,92.0,东南大学四牌楼校区座落于南京市区，东枕钟山，西邻钟鼓楼，北临玄武湖，珍珠河纵贯其间，山湖相映，万木竞翠，环境优美。是六朝宫苑的遗址，也曾是明朝国子监所在地。,62.0,118.800002,32.061518,16,0.0
千佛岩Cliff of Thousand Buddhas,1,86.0,,33.0,118.9667,32.157491,75,0.0
玄武门城墙City Wall of Xuanwu Gate,5,94.0,,53.0,118.794291,32.076891,61,0.01
宝船厂遗址Treasure Shipyard Relics Park,1,90.0,重温郑和下西洋的历史场景，感受船队风貌的壮观场面。,254.0,118.740568,32.066882,141,0.0
狮子山景区Shizi Mountain Sceneic Area,1,92.0,,119.0,118.755125,32.100862,50,0.0
渡江胜利纪念馆Nanjing River Crossing Campaign Victory Memorial Muesum,2,88.0,,263.0,118.738006,32.079429,56,0.0
南京图书馆Nanjing Library,3,94.0,亚洲第四大图书馆，不单藏书量巨大，环境也十分幽静。,158.0,118.802061,32.048309,353,0.01
金陵大学旧址Jinling Woman Former Site of University,1,94.0,,266.0,118.78711186,32.0599620084,24,0.0
阳山碑材Yangshan Gravestone,1,88.0,,1.0,119.008438,32.068453,181,0.0
古林公园Gulin Park,1,92.0,,271.0,118.759932,32.072533,92,0.0
幕燕滨江风貌区Nanjing Muyan Binjiang Scenic Area,1,88.0,,272.0,118.821155,32.15246,26,0.0
东吴大帝孙权纪念馆Dongwu Dadi Sunquan Memorial Hall,1,86.0,,273.0,118.846214,32.05595,47,0.0
小王府巷,1,70.0,小王府巷巷宽不过2米，巷内建筑紧凑低矮，再走几步就看见了“小王府巷”的门牌。据史书记载，小王府巷就是石达开的故居。,160.0,118.784655,32.040247,1,0.0
古猿人洞Australopithecus Cave,1,86.0,,3.0,119.042037,32.052591,129,0.0
黄龙堰水库,0,0.0,,,118.967091098,31.9673634013,0,0.0
石塘人家,0,0.0,,,118.7191204235,31.7263072559,0,0.0
乡伴苏家理想村,0,0.0,,,118.7330852048,31.8103483012,0,0.0
石头城遗址公园,0,0.0,,,118.768154,32.051239,0,0.0
九龙湖南湖公园,0,0.0,,,118.832685,31.913714,0,0.0
南师大玄武科技园 (金地·梧桐里),0,0.0,,,118.828335,32.077078,0,0.0
江宁区龙居湖,0,0.0,,,118.682332,31.789363,0,0.0
南京城墙博物馆,0,94.0,,,118.7892361235,32.0187043948,0,0.0
非遗馆·南京市非遗体验中心,0,0.0,,,118.7940635988,32.0240977317,0,0.0
浦口码头,0,90.0,,,118.7286199948,32.1015080177,0,0.0
十里长山凹,0,0.0,,,118.92653188,31.9936088637,0,0.0
花迹·虫文院,0,0.0,,,118.792997,32.021303,0,0.0
南京汤山紫清湖旅游度假区熊猫馆,0,0.0,,,119.045165,32.069906,0,0.0
宠物乐园,0,0.0,,,118.806997,32.097582,0,0.0
沈万三故居,0,0.0,,,118.7920327684,32.0207126883,0,0.0
天鹅湖,0,0.0,,,118.717409,31.805324,0,0.0
遇园(溧水),0,0.0,,,119.0399174544,31.5720771413,1,0.0
芥子园Jiezi Garden,0,90.0,,,118.7952057426,32.017759688,0,0.0
